iso_code,date,continent,location,reproduction_rate,C1_combined_numeric,C1_combined,C2_combined_numeric,C2_combined,C3_combined_numeric,C3_combined,C4_combined_numeric,C4_combined,C5_combined_numeric,C5_combined,C6_combined_numeric,C6_combined,C7_combined_numeric,C7_combined,C8_combined_numeric,C8_combined,E1_combined_numeric,E1_combined,E2_combined_numeric,E2_combined,H1_combined_numeric,H1_combined,H2_combined_numeric,H2_combined,H3_combined_numeric,H3_combined,H6_combined_numeric,H6_combined,H7_combined_numeric,H7_combined,H8_combined_numeric,H8_combined
NLD,2020-05-03,Europe,Netherlands,0.63,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-04,Europe,Netherlands,0.64,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-05,Europe,Netherlands,0.65,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-06,Europe,Netherlands,0.65,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-07,Europe,Netherlands,0.66,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-08,Europe,Netherlands,0.65,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-09,Europe,Netherlands,0.65,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-10,Europe,Netherlands,0.65,3,3G,2,2G,2,2G,4,4G,1,1G,2,2G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-11,Europe,Netherlands,0.65,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-12,Europe,Netherlands,0.66,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-13,Europe,Netherlands,0.65,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-14,Europe,Netherlands,0.65,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-15,Europe,Netherlands,0.65,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-16,Europe,Netherlands,0.65,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-17,Europe,Netherlands,0.66,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-18,Europe,Netherlands,0.69,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-19,Europe,Netherlands,0.73,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-20,Europe,Netherlands,0.77,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-21,Europe,Netherlands,0.8,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-22,Europe,Netherlands,0.81,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-23,Europe,Netherlands,0.83,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-24,Europe,Netherlands,0.85,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,3,3G
NLD,2020-05-25,Europe,Netherlands,0.87,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,2,2G
NLD,2020-05-26,Europe,Netherlands,0.87,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,2,2G
NLD,2020-05-27,Europe,Netherlands,0.86,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,2,2G
NLD,2020-05-28,Europe,Netherlands,0.84,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,2,2G
NLD,2020-05-29,Europe,Netherlands,0.84,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,2,2G
NLD,2020-05-30,Europe,Netherlands,0.84,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,2,2G
NLD,2020-05-31,Europe,Netherlands,0.85,2,2G,2,2G,2,2G,4,4G,1,1G,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,1,1,1,1,0,0,0,0,2,2G
NLD,2020-06-01,Europe,Netherlands,0.85,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-02,Europe,Netherlands,0.88,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-03,Europe,Netherlands,0.91,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-04,Europe,Netherlands,0.98,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-05,Europe,Netherlands,1.02,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-06,Europe,Netherlands,1.05,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-07,Europe,Netherlands,1.06,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-08,Europe,Netherlands,1.05,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-09,Europe,Netherlands,1.03,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-10,Europe,Netherlands,1.01,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-11,Europe,Netherlands,0.97,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-12,Europe,Netherlands,0.96,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-13,Europe,Netherlands,0.93,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-14,Europe,Netherlands,0.89,2,2G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,2,2G
NLD,2020-06-15,Europe,Netherlands,0.87,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
NLD,2020-06-16,Europe,Netherlands,0.83,1,1G,2,2G,2,2G,3,3G,0,0,1,1G,1,1G,3,3,1.5,2F,2,2,2,2G,2,2,2,2,2,2G,0,0,1,1G
